iPad1,1	1024	768
iPad2,1	1024	768
iPad2,4	1024	768
iPad2,2	1024	768
iPad2,3	1024	768
iPad3,3	2048	1536
iPad3,2	2048	1536
iPad3,4	2048	1536
iPad3,5	2048	1536
iPad3,6	2048	1536
iPad2,5	1024	768
iPad2,6	1024	768
iPad2,7	1024	768
iPad4,1	2048	1536
iPad4,2	2048	1536
iPad4,2	2048	1536
Pad4,4	2048	1536
iPad4,5	2048	1536
iPad4,5	2048	1536
iPad5,3	2048	1536
iPad5,4	2048	1536
iPad4,7	2048	1536
iPad4,8	2048	1536
iPad4,8	2048	1536
iPad5,1	2048	1536
iPad5,2	2048	1536
iPad6,7	2732	2048
iPad6,8	2732	2048
iPad6,3	2048	1536
iPad6,4	2048	1536
iPad6,4	2048	1536
iPad6,11	2048	1536
iPad6,12	2048	1536
iPad7,3	2224	1668
iPad7,4	2224	1668
iPad7,1	2732	2048
iPad7,2	2732	2048
iPad7,5	2048	1536
iPad7,6	2048	1536
iPad8,1	2388	1668
iPad8,2	2388	1668
iPad8,3	2388	1668
iPad8,4	2388	1668
iPad8,5	2732	2048
iPad8,6	2732	2048
iPad8,7	2732	2048
iPad8,8	2732	2048
iPad11,3	2224	1668
iPad11,4	2224	1668
iPad11,1	2048	1536
iPad11,2	2048	1536
iPad7,11	2160	1620
iPad7,12	2160	1620
iPad8,9	2388	1668
iPad8,10	2388	1668
iPad8,11	2732	2048
iPad8,12	2732	2048
iPad11,6	2160	1620
iPad11,7	2160	1620
iPad13,1	2360	1640
iPad13,2	2360	1640
iPad13,4	2388	1688
iPad13,6	2388	1688
iPad13,8	2732	2048
iPad13,10	2732	2048
iPhone1,1	320	480
iPhone1,2	320	480
iPhone2,1	320	480
iPhone3,1	960	640
iPhone3,2	960	640
iPhone3,3	960	640
iPhone4,1	960	640
iPhone5,1	1136	640
iPhone5,2	1136	640
iPhone5,2	1136	640
iPhone5,3	1136	640
iPhone5,4	1136	640
iPhone6,1	1136	640
iPhone6,2	1136	640
iPhone7,2	1334	750
iPhone7,1	1920	1080
iPhone8,1	1334	750
iPhone8,2	1920	1080
iPhone8,4	1136	640
iPhone9,1	1334	750
iPhone9,3	1334	750
iPhone9,2	1920	1080
iPhone9,4	1920	1080
iPhone10,1	1334	750
iPhone10,4	1334	750
iPhone10,2	1920	1080
iPhone10,5	1920	1080
iPhone10,3	2436	1125
iPhone10,6	2436	1125
iPhone11,2	2436	1125
iPhone11,6	2688	1242
iPhone11,8	1792	828
iPhone12,1	1792	828
iPhone12,3	2436	1125
iPhone12,5	2688	1242
iPhone12,8	1334	750
iPhone13,2	2532	1170
iPhone13,3	2532	1170
iPhone13,1	2340	1080
iPhone13,4	2778	1284
